COD_MUN,MUNICIPIO,SIGLA_UF,IDSC-BR_2024,Classificação_2024
1304104,Tapauá ,AM,"35,83",5314
1304203,Tefé ,AM,"34,41",5437
1304237,Tonantins ,AM,"33,53",5479
1304260,Uarini ,AM,"39,52",4756
1304302,Urucará ,AM,"37,6",5121
1304401,Urucurituba ,AM,"36,85",5220
1400027,Amajari ,RR,"33,97",5459
1400050,Alto Alegre ,RR,"39,22",4818
1400100,Boa Vista ,RR,"43,24",3769
1400159,Bonfim ,RR,"39,28",4802
1400175,Cantá ,RR,"34,29",5443
1400209,Caracaraí ,RR,"38,91",4882
1400233,Caroebe ,RR,"41,64",4227
1400282,Iracema ,RR,"40,57",4501
1400308,Mucajaí ,RR,"39,74",4691
1400407,Normandia ,RR,"35,81",5316
1400456,Pacaraima ,RR,"33,36",5487
1400472,Rorainópolis ,RR,"39,36",4786
1400506,São João da Baliza ,RR,"44,77",3347
1400605,São Luiz ,RR,"45,52",3117
1400704,Uiramutã ,RR,"34,41",5436
1500107,Abaetetuba ,PA,"36,11",5301
1500131,Abel Figueiredo ,PA,"33,69",5472
1500206,Acará ,PA,"31,36",5552
1500305,Afuá ,PA,33,5503
1500347,Água Azul do Norte ,PA,"33,75",5470
1500404,Alenquer ,PA,"34,29",5442
1500503,Almeirim ,PA,"36,35",5280
1500602,Altamira ,PA,"34,12",5450
1500701,Anajás ,PA,"33,99",5458
1500800,Ananindeua ,PA,"39,15",4836
1500859,Anapu ,PA,"31,09",5555
1500909,Augusto Corrêa ,PA,"36,18",5292
1500958,Aurora do Pará ,PA,"33,74",5471
1501006,Aveiro ,PA,"37,54",5134
1501105,Bagre ,PA,"32,94",5506
1501204,Baião ,PA,"37,2",5176
1501253,Bannach ,PA,"37,42",5150
1501303,Barcarena ,PA,"44,06",3543
1501402,Belém ,PA,"40,06",4620
1501451,Belterra ,PA,"36,86",5217
1501501,Benevides ,PA,"37,89",5078
1501576,Bom Jesus do Tocantins ,PA,"35,72",5321
1501600,Bonito ,PA,"38,48",4963
1501709,Bragança ,PA,"37,55",5133
1501725,Brasil Novo ,PA,"37,58",5124
1501758,Brejo Grande do Araguaia ,PA,"36,14",5297
1501782,Breu Branco ,PA,"35,03",5389
1501808,Breves ,PA,"32,99",5504
1501907,Bujaru ,PA,"38,8",4906
1501956,Cachoeira do Piriá ,PA,"35,62",5332
1502004,Cachoeira do Arari ,PA,"35,66",5326
1502103,Cametá ,PA,"34,29",5441
1502152,Canaã dos Carajás ,PA,"47,04",2644
1502202,Capanema ,PA,"39,41",4776
1502301,Capitão Poço ,PA,"36,51",5261
1502400,Castanhal ,PA,"39,85",4662
1502509,Chaves ,PA,"37,34",5158
1502608,Colares ,PA,"37,93",5070
1502707,Conceição do Araguaia ,PA,"35,26",5374
1502756,Concórdia do Pará ,PA,"35,95",5308
1502764,Cumaru do Norte ,PA,"32,09",5536
1502772,Curionópolis ,PA,"40,57",4503
1502806,Curralinho ,PA,"38,71",4930
1502855,Curuá ,PA,"40,32",4572
1502905,Curuçá ,PA,"38,72",4926
1502939,Dom Eliseu ,PA,"34,43",5434
1502954,Eldorado do Carajás ,PA,"34,08",5451
1503002,Faro ,PA,"43,98",3561
1503044,Floresta do Araguaia ,PA,"38,29",5006
1503077,Garrafão do Norte ,PA,"36,83",5223
1503093,Goianésia do Pará ,PA,"35,82",5315
1503101,Gurupá ,PA,"35,53",5343
1503200,Igarapé-Açu ,PA,"37,93",5072
1503309,Igarapé-Miri ,PA,"31,55",5548
1503408,Inhangapi ,PA,"38,19",5023
1503457,Ipixuna do Pará ,PA,"31,81",5543
1503507,Irituia ,PA,"36,04",5303
1503606,Itaituba ,PA,"36,21",5289
1503705,Itupiranga ,PA,"32,78",5511
1503754,Jacareacanga ,PA,"38,18",5026
1503804,Jacundá ,PA,"33,06",5499
1503903,Juruti ,PA,"38,15",5029
1504000,Limoeiro do Ajuru ,PA,"36,36",5277
1504059,Mãe do Rio ,PA,"37,85",5084
1504109,Magalhães Barata ,PA,"45,22",3200
1504208,Marabá ,PA,"35,94",5309
1504307,Maracanã ,PA,"36,18",5293
1504406,Marapanim ,PA,"42,6",3952
1504422,Marituba ,PA,"38,43",4974
1504455,Medicilândia ,PA,"33,85",5463
1504505,Melgaço ,PA,"34,23",5446
1504604,Mocajuba ,PA,"31,78",5545
1504703,Moju ,PA,"31,48",5550
1504752,Mojuí dos Campos ,PA,"39,67",4715
1504802,Monte Alegre ,PA,"34,89",5400
1504901,Muaná ,PA,"34,49",5426
1504950,Nova Esperança do Piriá ,PA,"31,99",5538
1504976,Nova Ipixuna ,PA,"33,99",5457
1505007,Nova Timboteua ,PA,"37,57",5125
1505031,Novo Progresso ,PA,"34,98",5394
1505064,Novo Repartimento ,PA,"31,62",5546
1505106,Óbidos ,PA,"32,25",5534
1505205,Oeiras do Pará ,PA,"34,48",5427
1505304,Oriximiná ,PA,"37,5",5141
1505403,Ourém ,PA,"39,58",4737
1505437,Ourilândia do Norte ,PA,"37,27",5170
1505486,Pacajá ,PA,"32,44",5523
1505494,Palestina do Pará ,PA,"34,91",5399
1505502,Paragominas ,PA,"40,71",4466
1505536,Parauapebas ,PA,"41,8",4179
1505551,Pau D'Arco ,PA,"36,58",5248
1505601,Peixe-Boi ,PA,"36,55",5251
1505635,Piçarra ,PA,"36,65",5244
1505650,Placas ,PA,"31,17",5554
1505700,Ponta de Pedras ,PA,"35,63",5331
1505809,Portel ,PA,"33,51",5482
1505908,Porto de Moz ,PA,"35,02",5391
1506005,Prainha ,PA,"30,4",5563
1506104,Primavera ,PA,"38,56",4950
1506112,Quatipuru ,PA,"36,85",5219
1506138,Redenção ,PA,"37,82",5090
1506161,Rio Maria ,PA,"35,46",5352
1506187,Rondon do Pará ,PA,"32,41",5526
1506195,Rurópolis ,PA,"32,39",5528
1506203,Salinópolis ,PA,"41,19",4341
1506302,Salvaterra ,PA,"37,65",5117
1506351,Santa Bárbara do Pará ,PA,"35,37",5365
1506401,Santa Cruz do Arari ,PA,"38,06",5042
1506500,Santa Izabel do Pará ,PA,"37,18",5182
1506559,Santa Luzia do Pará ,PA,"36,55",5252
1506583,Santa Maria das Barreiras ,PA,"33,22",5494
1506609,Santa Maria do Pará ,PA,"37,94",5069
1506708,Santana do Araguaia ,PA,"28,87",5568
1506807,Santarém ,PA,"37,55",5132
1506906,Santarém Novo ,PA,"43,55",3690
1507003,Santo Antônio do Tauá ,PA,"37,17",5183
1507102,São Caetano de Odivelas ,PA,"39,22",4817
1507151,São Domingos do Araguaia ,PA,"34,69",5412
1507201,São Domingos do Capim ,PA,"33,77",5468
1507300,São Félix do Xingu ,PA,"32,61",5515
1507409,São Francisco do Pará ,PA,"37,53",5138
1507458,São Geraldo do Araguaia ,PA,"37,94",5064
1507466,São João da Ponta ,PA,"39,85",4663
1507474,São João de Pirabas ,PA,"40,5",4526
1507508,São João do Araguaia ,PA,"32,2",5535
1507607,São Miguel do Guamá ,PA,"38,33",4994
1507706,São Sebastião da Boa Vista ,PA,"38,04",5046
1507755,Sapucaia ,PA,"38,72",4927
1507805,Senador José Porfírio ,PA,"32,25",5533
1507904,Soure ,PA,"39,1",4852
1507953,Tailândia ,PA,"32,76",5513
1507961,Terra Alta ,PA,"36,66",5242
1507979,Terra Santa ,PA,"37,94",5068
1508001,Tomé-Açu ,PA,"34,44",5432
1508035,Tracuateua ,PA,"32,26",5532
1508050,Trairão ,PA,"34,01",5456
1508084,Tucumã ,PA,38,5052
1508100,Tucuruí ,PA,"39,19",4827
1508126,Ulianópolis ,PA,"32,53",5519
1508159,Uruará ,PA,"31,09",5556
1508209,Vigia ,PA,"36,51",5259
1508308,Viseu ,PA,"34,78",5408
1508357,Vitória do Xingu ,PA,"44,06",3545
1508407,Xinguara ,PA,"40,32",4571
1600055,Serra do Navio ,AP,"48,09",2329
1600105,Amapá ,AP,"36,68",5239
1600154,Pedra Branca do Amapari ,AP,"40,54",4511
1600204,Calçoene ,AP,"35,49",5347
1600212,Cutias ,AP,"34,47",5428
1600238,Ferreira Gomes ,AP,"41,32",4312
1600253,Itaubal ,AP,"38,47",4964
1600279,Laranjal do Jari ,AP,"37,77",5100
1600303,Macapá ,AP,"37,33",5161
1600402,Mazagão ,AP,"39,6",4734
1600501,Oiapoque ,AP,"36,73",5230
1600535,Porto Grande ,AP,"34,47",5429
1600550,Pracuúba ,AP,"41,59",4235
1600600,Santana ,AP,"33,52",5481
1600709,Tartarugalzinho ,AP,"38,56",4952
1600808,Vitória do Jari ,AP,"37,4",5155
